Year,Type,Description,Title,Link,TitleLink,,
2019,Article,Centre for Integrative Brain Function article:,Complex tasks reveal a weakness in newly created brain pathways,https://www.cibf.edu.au/complex-tasks,Centre for Integrative Brain Function article: \href{https://www.cibf.edu.au/complex-tasks}{{\bf Complex tasks reveal a weakness in newly created brain pathways}},,
2018,Article,Centre for Integrative Brain Function article:,Greater flexibility in brain networks helps you solve harder puzzles,https://www.cibf.edu.au/greater-flexibility-in-brain-networks,Centre for Integrative Brain Function article: \href{https://www.cibf.edu.au/greater-flexibility-in-brain-networks}{{\bf Greater flexibility in brain networks helps you solve harder puzzles}},,
2019,Article,Centre for Integrative Brain Function article:,What do brain activity and your daily commute have in common?,https://www.cibf.edu.au/brain-activity,Centre for Integrative Brain Function article: \href{https://www.cibf.edu.au/brain-activity}{{\bf What do brain activity and your daily commute have in common?}},,
2019,Article,Brisbane Times (local newspaper) article:,Top minds pinpoint ADHD cause by thinking big over 20 years,https://www.brisbanetimes.com.au/national/queensland/top-minds-pinpoint-adhd-cause-by-thinking-big-over-20-years-20191031-p5369r.html,Brisbane Times (local newspaper) article: \href{https://www.brisbanetimes.com.au/national/queensland/top-minds-pinpoint-adhd-cause-by-thinking-big-over-20-years-20191031-p5369r.html}{{\bf Top minds pinpoint ADHD cause by thinking big over 20 years}},,
2019,Article,The Courier Mail (national newspaper) article:,Huge discovery inside ADHD brains,https://cutt.ly/UhCTDiJ,The Courier Mail (national newspaper) article: \href{https://cutt.ly/UhCTDiJ}{{\bf Huge discovery inside ADHD brains}},,
,,,,,,,
,,,,,,,
,,,,,,,
