Year,Role,Description,,
2016 - Current,Current member,Organization for Human Brain Mapping,,
2014 - Current,Current member,Australiasian Cognitive Neuroscience Society,,
,Ad hoc reviewer,The Journal of Neuroscience,,
,Ad hoc reviewer,Communications Biology,,
,Ad hoc reviewer,Neuroimage,,
,Ad hoc reviewer,Neuroimage: Clinical,,
,Ad hoc reviewer,Cerebral Cortex,,
,Ad hoc reviewer,Human Brain Mapping,,
,Ad hoc reviewer,Nature: Science of Learning,,
,Ad hoc reviewer,Biosystems,,
